name,station
Mehfil Indian Restaurant,Montgomery St
DaDa Bar,Montgomery St
Caramba,Montgomery St
Madarae,Montgomery St
Yank Sing,Montgomery St
Flywheel Coffee Roasters,Montgomery St
Sutter Station Tavern,Montgomery St
5A5 Steak House,Embarcadero
Cafe Insalata,Embarcadero
Kokkari Estiatorio,Embarcadero
Ravi,Embarcadero
620 Jones,Powell St
Henry's Hunan Restaurant,Montgomery St
Schroeder's Restaurant,Embarcadero
Rico Mex,Montgomery St
Oak-Dar,12th St/Oakland City Center
Amber India,Powell St
Local Diner,Civic Center/UN Plaza
Escape from New York Pizza,Montgomery St
Wildhawk,16th St/Mission
Eat @ Thai,North Berkeley
Caffe Teatro,12th St/Oakland City Center
ABSteak,Powell St
Executive Order,Powell St
Cold Stone Creamery,Hayward
Hayward City Pho,Hayward
Angeline's Louisiana Kitchen,Downtown Berkeley
Sightglass Coffee,Civic Center/UN Plaza
Bouche,Montgomery St
Turf Club,Hayward
Sandwich Zone,Downtown Berkeley
Kitava Kitchen,Walnut Creek
Hinata Sushi,Hayward
Revolution Cafe,West Oakland
Piccolo Italia,Civic Center/UN Plaza
Sun Sun Sushi Shop,Downtown Berkeley
Ezzo Rotisserie,24th St/Mission
Chao Pescao,Civic Center/UN Plaza
Cunha's Cocktails,San Leandro
Starbucks,El Cerrito del Norte
Tropisueño,Powell St
Toust,Downtown Berkeley
Caffè Bianco,Montgomery St
Northern China BBQ,Civic Center/UN Plaza
Make Out Room,24th St/Mission
Zombie Village,Powell St
Press Club,Powell St
IHOP,El Cerrito del Norte
Donburi Ya,Powell St
Chaat Corner,Montgomery St
Bocado,Montgomery St
Little Delhi,Powell St
Fang,Montgomery St
Happy Burrito #1,19th St/Oakland
Moya Cafe,Civic Center/UN Plaza
Fellini Coffee Bar,North Berkeley
Opa,Walnut Creek
Los Dos Hermanos,South Hayward
E&O Kitchen and Bar,Montgomery St
Scott's Chowder House,Montgomery St
Papalote Mexican Grill,24th St/Mission
Chome,24th St/Mission
Taqueria El Farolito,24th St/Mission
DeliShack,Civic Center/UN Plaza
Mey Cafe and Bakery,Ashby
Epic Steak,Embarcadero
Homey Kitchen,16th St/Mission
Starbucks,El Cerrito Plaza
All Star Donuts,El Cerrito Plaza
Pink Elephant,Montgomery St
Buckhorn,Powell St
Aaha Indian Cuisine,16th St/Mission
Raw Sugar Factory,16th St/Mission
Super Duper Burger,Embarcadero
Prospect,Embarcadero
Cafe La Boheme,24th St/Mission
Big Bite Burgers & Beers,24th St/Mission
Paprika,24th St/Mission
Rocks Den,Glen Park
Zabb Cuisine,Glen Park
Fiore Caffè,24th St/Mission
Kinda Izakaya,Downtown Berkeley
Old Jerusalem,24th St/Mission
The Liberties,24th St/Mission
Sarita's Grill & Beer,24th St/Mission
Aditi,24th St/Mission
Shaska,24th St/Mission
Diwali Indian Cuisine,24th St/Mission
Pazzia,Montgomery St
Flying Pig Bistro,16th St/Mission
Binge Coffee House,Downtown Berkeley
Saigon Express,Downtown Berkeley
Miss Saigon,Powell St
Charlie's Cafe,24th St/Mission
Homestead,16th St/Mission
Heirloom Cafe,24th St/Mission
Quince,Embarcadero
Starbucks,Embarcadero
Way Station Brew,Downtown Berkeley
Arinell Pizza,Downtown Berkeley
Heroic Italian,Downtown Berkeley
Thanh Tam II,16th St/Mission
Delicious Thai Kitchen,Rockridge
bb.q Chicken,Rockridge
The Butcher's Son,Downtown Berkeley
Rose Pizzeria,Downtown Berkeley
The Sandwich Place,16th St/Mission
The Occidental Cigar Club,Montgomery St
Bag O' Crab,San Leandro
The Summer Place,Powell St
Cinnabar,Powell St
Nuha's Cafe,Downtown Berkeley
Jazzcaffé,Downtown Berkeley
Lox Stock & Bagel,Downtown Berkeley
Red Tomato Pizza House,Downtown Berkeley
Tallboy,MacArthur
States Coffee,MacArthur
Ole Ole Burrito Express,19th St/Oakland
Roast & Toast Cafe,Downtown Berkeley
Tsuruya,Downtown Berkeley
St. Regis Hotel Lobby Bar,Montgomery St
Wise Sons,MacArthur
Bocanova,12th St/Oakland City Center
Coffee Bodega,Embarcadero
El Rio,24th St/Mission
Dumpling Day,Downtown Berkeley
Toss Noodle Bar,Downtown Berkeley
Starbucks,Pleasant Hill/Contra Costa Centre
Asha Tea House,Downtown Berkeley
Imm Thai Street Food,Downtown Berkeley
Cafe Rio,Downtown Berkeley
Platano,Downtown Berkeley
Cafe Tibet,Downtown Berkeley
Monte's Bar,Montgomery St
SAJJ Mediterranean,Montgomery St
Leleka,Montgomery St
Panchita's Pupuseria To-Go,16th St/Mission
Raven Bar,Civic Center/UN Plaza
Precita Social,24th St/Mission
The Garden Restaurant,Montgomery St
Foreign Cinema,24th St/Mission
Cole Coffee,Rockridge
Union Square Sports Bar,Powell St
Comal,Downtown Berkeley
Almare,Downtown Berkeley
Sushi Secrets,Downtown Berkeley
Udupi Palace,Downtown Berkeley
Chaat Cafe Express,Montgomery St
Little Plearn Thai Kitchen,Downtown Berkeley
眷湘 Easterly,Downtown Berkeley
Tip-Sea,Downtown Berkeley
